,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Name
64,4633.787878,5148.939393,3432.969697,5467.30303,4342.212121,5600.727272,5826.363636,4155.727272,4264.939394,3896.60606,4248.969697,1106.545454,3557.636363,1594.393939,left
65,4633.787878,5148.939393,3432.969697,5467.30303,4342.212121,5600.727272,5826.363636,4155.727272,4264.939394,3896.60606,4248.969697,1106.545454,3557.636363,1594.393939,left
66,4633.787878,5148.939393,3432.969697,5467.30303,4342.212121,5600.727272,5826.363636,4155.727272,4264.939394,3896.60606,4248.969697,1106.545454,3557.636363,1594.393939,left
67,4243.818181,4867.666666,3584.424242,5375.090909,4528.696969,5638.333333,5712.515151,4326.757575,4337.575757,3975.939394,4114,534.2121212,3733.818181,1691.242424,left
68,3963.060606,4490.060606,4754.333333,5023.757575,4290.696969,4989.757575,4586.90909,4778.545454,4599.787878,4331.90909,4338.090909,2173.939394,3694.666666,2513.424242,left
69,5218.999999,5089.181818,4472.545454,4122.757575,3711.666666,3928.545454,2952.848485,4539.515151,4545.181818,4304.60606,4705.393939,4837.787878,4048.575757,5868.090909,left
70,4513.242424,5283.90909,3397.939394,3796.151515,3493.242424,3808,3166.121212,4058.878787,4187.666666,4140.787878,4409.181818,7729.848484,4441.636363,7882.333333,left
71,4884.666666,4440.60606,2777.696969,5469.878787,4205.696969,5404.454545,5392.090909,4508.60606,4412.787878,4118.121212,4358.696969,3018.787878,3466.969697,1488.787879,left
72,4884.666666,4440.60606,2777.696969,5469.878787,4205.696969,5404.454545,5392.090909,4508.60606,4412.787878,4118.121212,4358.696969,3018.787878,3466.969697,1488.787879,left
73,3732.272727,4829.545454,6054.575757,4824.90909,4646.151515,5713.030302,5889.727272,4299.969697,4373.636363,4140.272727,4014.575757,529.060606,3397.424242,1343,left
74,3732.272727,4829.545454,6054.575757,4824.90909,4646.151515,5713.030302,5889.727272,4299.969697,4373.636363,4140.272727,4014.575757,529.060606,3397.424242,1343,left
75,3732.272727,4829.545454,6054.575757,4824.90909,4646.151515,5713.030302,5889.727272,4299.969697,4373.636363,4140.272727,4014.575757,529.060606,3397.424242,1343,left
76,3732.272727,4829.545454,6054.575757,4824.90909,4646.151515,5713.030302,5889.727272,4299.969697,4373.636363,4140.272727,4014.575757,529.060606,3397.424242,1343,left
77,3732.272727,4829.545454,6054.575757,4824.90909,4646.151515,5713.030302,5889.727272,4299.969697,4373.636363,4140.272727,4014.575757,529.060606,3397.424242,1343,left
78,5105.151515,4860.454545,4507.060606,5237.545454,4512.212121,5569.818181,5403.939393,4513.757575,4371.575757,4023.333333,4217.545454,773.2424242,2914.727272,926.7575757,left
79,5105.151515,4860.454545,4507.060606,5237.545454,4512.212121,5569.818181,5403.939393,4513.757575,4371.575757,4023.333333,4217.545454,773.2424242,2914.727272,926.7575757,left
80,5154.60606,4006.333333,3801.30303,5972.151515,4560.636363,5489.454545,5265.363636,4537.969697,4382.90909,4030.545454,4174.787878,1327.030303,3024.969697,770.6666666,left
81,3643.666666,4561.151515,4852.212121,4939.787878,4765.151515,5600.727272,5525.515151,4563.212121,4466.363636,4401.454545,3992.939394,693.3939393,3491.181818,795.3939393,left
82,3643.666666,4561.151515,4852.212121,4939.787878,4765.151515,5600.727272,5525.515151,4563.212121,4466.363636,4401.454545,3992.939394,693.3939393,3491.181818,795.3939393,left
83,3643.666666,4561.151515,4852.212121,4939.787878,4765.151515,5600.727272,5525.515151,4563.212121,4466.363636,4401.454545,3992.939394,693.3939393,3491.181818,795.3939393,left
84,4358.696969,5202.515151,3840.454545,4730.121212,4542.60606,5052.60606,4571.969697,4034.151515,4463.272727,4086.181818,4139.242424,1202.363636,4130.484848,3579.272727,left
85,4358.696969,5202.515151,3840.454545,4730.121212,4542.60606,5052.60606,4571.969697,4034.151515,4463.272727,4086.181818,4139.242424,1202.363636,4130.484848,3579.272727,left
86,4358.696969,5202.515151,3840.454545,4730.121212,4542.60606,5052.60606,4571.969697,4034.151515,4463.272727,4086.181818,4139.242424,1202.363636,4130.484848,3579.272727,left
87,4358.696969,5202.515151,3840.454545,4730.121212,4542.60606,5052.60606,4571.969697,4034.151515,4463.272727,4086.181818,4139.242424,1202.363636,4130.484848,3579.272727,left
88,3768.848484,4197.454545,4973.787878,4276.272727,3804.909091,3791,2900.818182,4067.121212,4544.151515,4230.939394,5277.727272,7067.878787,4417.424242,7421.787878,left
89,3768.848484,4197.454545,4973.787878,4276.272727,3804.909091,3791,2900.818182,4067.121212,4544.151515,4230.939394,5277.727272,7067.878787,4417.424242,7421.787878,left
90,4305.636363,4444.212121,4985.121212,4085.151515,3448.424242,3765.242424,3114.60606,3982.636363,4477.181818,4166.545454,5238.060606,7334.727272,4381.363636,7462.999999,left
